id,acronym,status,title,startDate,endDate,totalCost,ecMaxContribution,legalBasis,topics,ecSignatureDate,frameworkProgramme,masterCall,subCall,fundingScheme,objective,contentUpdateDate,rcn,grantDoi
101116741,DOE,SIGNED,Digitizing Other Economies: A Comparative Approach,2024-02-01,2029-01-31,1499998,1499998,HORIZON.1.1,ERC-2023-STG,2023-12-15,HORIZON,ERC-2023-STG,ERC-2023-STG,HORIZON-ERC,"How do longstanding, primarily non-industrial, non-capitalist societies adopt and adapt digital technologies in their daily practices and systems of values? Classical anthropological theory once arranged basic economic types on an evolutionary ladder ranging from hunter-gatherers, horticulturalists, pastoralists, and agriculturalists to industrialists. Today, the existence of these economies other than industrialism are correctly approached not as anachronisms but as contemporaneous to (post-)industrial life. Still, research on digitization has largely taken place in (post-) industrial contexts, meaning we know next to nothing about how different types of longstanding economies adopt and adapt digital technologies. At the same time, researchers have stipulated that digitization threatens global economic diversity. By comparing digitization to processes of colonization, they have argued that digital technologies facilitate assimilation into (post-)industrial economic systems and their often capitalist values by virtue of their technological design. This project empirically investigates these claims through in-depth ethnographic research among hunter-gatherers (Brazilian Amazon), pastoralists (Kyrgyz Republic), horticulturalists (Solomon Islands) and indigenous agriculturalists (India) who have long resisted assimilation into industrial-capitalism. Additional ethnological comparison of the four sites will offer unique macro-level insights into the possibilities for economic diversity in the digital age. Finally, the project advances a novel theoretical and methodological approach that advances both ethnographic research and ethnological comparison. This approach recognizes the significance of both technological design and contextual adaptations and provides tools for new research agendas not just on digital industrial-capitalism but on diverse economic systems and values.",2023-12-26 14:40:12,259247,10.3030/101116741
101163161,IRASTRO,SIGNED,MOLECULAR QUANTUM DYNAMICS IN LOW TEMPERATURE CONDENSED PHASE ASTROCHEMISTRY,2025-08-01,2031-07-31,12085363,12085363,HORIZON.1.1,ERC-2024-SyG,2025-02-20,HORIZON,ERC-2024-SyG,ERC-2024-SyG,HORIZON-ERC-SYG,"The James Webb Space Telescope (JWST) has ushered in a new era in observational astrochemistry. JWST's ability to obtain infrared spectra of molecular ices condensed on interstellar dust grains in dense, star-forming clouds and in protoplanetary disks is expected to revolutionize the field, since these ices are known to be important sources of complex organic molecules. On a fundamental level, the physico-chemical behavior of these ices obeys the laws of molecular quantum dynamics occurring in low-temperature condensed phases. This is a forefront research area in chemical physics that, unfortunately, remains poorly understood. This project establishes an interdisciplinary, synergistic research consortium to address this knowledge deficit, bringing together the unique expertise of the groups of Alec Wodtke (Chemical Physics at Surfaces), Liv Hornekr (Astrochemistry and Scanning Tunneling Microscopy) and Peter Saalfrank (Theoretical Quantum Dynamics). Under IRASTRO, we will develop and employ advanced infrared technology based on superconducting nanowire single-photon detectors (SNSPDs) for new experimental capability in laboratory experiments directly relevant to astrochemistry. We will combine megapixel SNSPD arrays with chelle spectrometers enabling solid-state mid-infrared emission spectroscopy, including single-molecule mid-IR spectroscopy in a scanning tunneling microscope. With these new experiments and forefront quantum theory, we will tackle three research themes: 1) Infrared Spectra of Molecules on Surfaces under Interstellar Conditions, 2) Energy Dissipation Channels on Low Temperature Surfaces, and 3) Chemical Reactivity under Interstellar Conditions. IRASTROs focus on IR spectroscopy will make the projects findings directly relevant to the interpretation of JWST observational data and, through a fruitful collaboration of experiment and theory, provide a better fundamental understanding of astrochemistry.",2025-02-24 17:23:14,268970,10.3030/101163161
101160499,In-phase,SIGNED,Multiscale modelling of aberrant phase transitions in biocondensates,2025-06-01,2030-05-31,1489128,1489128,HORIZON.1.1,ERC-2024-STG,2025-02-19,HORIZON,ERC-2024-STG,ERC-2024-STG,HORIZON-ERC,"The spatiotemporal organization of the cell material represents one of the great wonders in physics, chemistry and biology. Compartmentalization plays a key role in such precise molecular coordination and enables cellular function. Over the past decade, transformative experiments have revealed that most intracellular compartments are not enclosed by membranes, but instead they are dynamical assemblies, termed condensates, and thought to occur via liquid-liquid phase separation of biomolecules. Nevertheless, the misregulation of these condensatesmostly formed by proteins and nucleic acidscan give rise to deleterious solid-like aggregates, which are associated with the proliferation of age-related and neurodegenerative disorders.In-phase aims to develop an innovative computational approach to resolve the dynamical behaviour of molecules inside functional condensates that drift their complex physicochemical behaviour into pathological solid aggregates. To this end, we plan to develop a multiscale modelling platformcombining coarse-grained force fields and atomistic simulationswhich will address the following critical questions: What are the encoded molecular features in RNA and protein sequences regulating phase behaviour? What pushes biomolecular condensates to shift their material properties over time? Can we prevent the proliferation of pathological aggregates induced by condensate misregulation? The overarching goals of this project are: (1) to understand the thermodynamic and intermolecular forces driving condensates out-of-function; and (2) devise potential strategies for preventing RNA/protein aberrant phase transitions in biomolecular condensates. This alone is ground-breaking because it will reveal the underlying mechanisms and interactions by which the structure and sequence of RNA and proteins dictate the material properties of intracellular condensates, and their implication in cellular dysfunction.",2025-02-24 17:23:11,268969,10.3030/101160499
101166905,mw-atlas,SIGNED,The first comprehensive Atlas of the Milky Way,2025-05-01,2031-04-30,9957560,9957560,HORIZON.1.1,ERC-2024-SyG,2025-02-20,HORIZON,ERC-2024-SyG,ERC-2024-SyG,HORIZON-ERC-SYG,"The Milky Way is the cosmic environment in which the solar system, the Earth, and life as we know it came into being. It is also the veil through which we peer into the extra-galactic universe. Its dust obscures our view of the formation of the cosmos. Its magnetic fields distort the observations of nature's most powerful particle accelerators. Its structure and metabolism determine the great diversity of observed star and planetary systems, including our own. Due to a lack of distance information, currently most information about the structure of the Milky Way is two-dimensional, while three-dimensional information is needed. For a breakthrough in Galactic cartography and the science it enables, we will create the first comprehensive three-dimensional atlas of all the physical components of the Milky Way. Our atlas will be self-consistent between component maps, quantify their remaining uncertainties, and be the most detailed to date. Thanks to the dramatic progress in observations at all wavelengths and in algorithmic methods based on information field theory in recent years, now is the right time to do this. Our team's combined expertise in galactic astrophysics, algorithms, observations, Milky Way surveys, and  information field theory with its application to galactic tomography puts us in a unique position to generate the first comprehensive Milky Way Atlas. We will apply this atlas to a number of pressing questions in cosmology, cosmic ray, and interstellar medium research and transfer the used tomography technologies into other areas, like medical imaging, Earth monitoring, and industrial data analysis.",2025-02-24 17:23:01,268971,10.3030/101166905
101162875,MAtCHLESS,SIGNED,Untapping multiparametric 2D luminescence sensing through MACHine LEarning and Spectral Sorting,2025-03-01,2030-02-28,1500000,1500000,HORIZON.1.1,ERC-2024-STG,2025-02-18,HORIZON,ERC-2024-STG,ERC-2024-STG,HORIZON-ERC,"Cellular organisms are complex machines whose health and functioning are dictated by parameters including temperature, oxygen concentration, and pH. Luminescence nanosensing is a technology that promises all the features required to reliably monitor these parameters at the intracellular level: minimal invasiveness, remote working principle, and submicrometric spatial resolution. These features are ensured by the use of sub-micrometric sensors (particles) whose luminescence is sensitive to changes in the parameters to be sensed. Yet, despite the hype about luminescence nanosensing, its reliability in the study of cells is limited by interparticle variability in optical properties and sensing performance, simultaneous response to several parameters (cross-sensitivity), and lack of a measurement technology that enables fast 2D mapping of multiple parameters with sub-second temporal resolution. MAtCHLESS tackles heads on these limitations to develop a reliable luminescence sensing technology for multiparameteric sensing in cell studies. This project entails: design of a novel family of composite submicrometric luminescent sensors, elimination of interparticle fluctuations in optical properties using a spectral sorting strategy, introduction of the paradigm shift of making cross-sensitivity a desirable feature via machine learning, and use of a novel optical technology to build a setup for 2D mapping of multiple parameters with high temporal and spatial resolution. MAtCHLESS will test the reliability of the sensing approach in mammalian cell lines and extremophiles  microorganisms that can withstand extreme conditions of, e.g., temperature, oxygen concentration, and pH. These investigations will show the potential of the developed technology to monitor both slight and extreme changes in biological parameters, towards a deeper understanding of, e.g., how cancer can be more effectively treated, as well as how Life evolved on Earth and can be adapted beyond our planet.",2025-02-24 17:23:12,268966,10.3030/101162875
101167314,GWSky,SIGNED,Making Sense of the Unexpected in the Gravitational-Wave Sky,2025-04-01,2031-03-31,11982258,11982258,HORIZON.1.1,ERC-2024-SyG,2025-02-18,HORIZON,ERC-2024-SyG,ERC-2024-SyG,HORIZON-ERC-SYG,"General Relativity (GR) is more than a century old, but is still our best macroscopic description of gravity. Key GR predictions are black holes (BHs) and gravitational waves (GWs), whose spectacular confirmation led to two recent physics Nobel Prizes. The future of GW astronomy, however, is even brighter, since detectors will observe BHs at cosmic dawn and probe their enigmatic event horizon, where GR clashes with quantum mechanics in the information loss paradox. These experiments will measure signals hundreds of times smaller than today, necessarily discovering anomalies and deviations from current predictions, e.g., due to the astrophysical environment. On the fundamental side, precision GW astronomy will open countless possibilities for understanding the standard model of particle physics (and its extensions), gravity and cosmology. By itself, however, precision is not knowledge. To harness the power of these measurements, a groundbreaking framework is urgently needed to solve the very nonlinear equations of GR and develop waveform models to unprecedented accuracy, and to convert these results into concrete interpretation tools. GWSky will leverage the world-leading expertise of its PIs in astrophysics, GW-source modeling, particle physics and GR, and recent paradigm shifts to build an overarching framework answering a fundamental question: When, inevitably, an anomaly in a GW signal is identified, what is it? A gravitational effect not predicted by GR? The influence of nearby matter? Or merely an imprecise calculation of the expected signal? Even tiny deviations from GR would shake physics to its core, but to claim a deviation from it, one needs to filter out first the contributions from the astrophysical environment, instrumental artifacts and systematic modeling uncertainties. GWSky will provide tools to disentangle these contributions, enabling precision GW astronomy with upcoming observational runs, and new facilities on the ground and in space.",2025-02-24 17:23:01,268968,10.3030/101167314
101165261,COLIBRI,SIGNED,Hernando Colón’s universal library. European culture and intellectual production at the dawn of the global world,2025-10-01,2030-09-30,1495625,1495625,HORIZON.1.1,ERC-2024-STG,2025-02-20,HORIZON,ERC-2024-STG,ERC-2024-STG,HORIZON-ERC,"While newly printed books were circulating widely around Europe, when more than half a century had passed since Gutenbergs invention, Hernando Coln (1488-1539), second son of Christopher Columbus, undertook the extraordinary challenge of keeping physical track of the proliferation of knowledge. He not only purchased everything, incessantly, and everywhere, marking on the books place and date of purchase, the local price, and the conversion to Spanish currency; for accessing, managing and reusing his colossal library, he and his invisible technicians also developed a sophisticated cross-indexing and symbols system which is foundational in the history of bibliography and knowledge management. The Colombina library of Seville still preserves over one third of the almost 16,000 titles which Coln left at his death, as well a dozen manuscript indexes and catalogues that, recording all sorts of information, make it possible to reconstruct the lost portions of the collection, including the volumes famously shipwrecked on their way from Venice to Seville in 1521. Financing, gathering, cataloguing and managing a library of such scale required widespread connections, the support of an international network, and a vision deeply intertwined with the politics of knowledge acquisition of the new-born Spanish Empire. COLIBRI aims at opening the doors and explore the legacy of the most important library of the early modern period, completing the reconstruction of its content in order to investigate it; understanding how it worked as the first large-scale information processing system of modern times, and as a place for the production, not only for the storage and preservation, of knowledge; exploring the still new relationship between written and print culture and the early European and intercontinental book market; finally, showing how the movement and the stories of Colons books reflect the developments of Western culture of the last five centuries.",2025-02-24 17:22:59,268967,10.3030/101165261
101072693,UAinEuratom21,SIGNED,UA EURATOM NCP SUPPORT OF UKRAINIAN RESEARCH ENTITIES INTEGRATION INTO NUCLEAR RESEARCH FUNDED BY THE EURATOM RESEARCH AND TRAINING PROGRAMME 2021-2025,2022-08-01,2024-07-31,100000,100000,EURATOM2027,EURATOM-2021-UKRAINE-TRAINING-INFO-IBA,2022-07-22,HORIZON,EURATOM-2021-UKRAINE-TRAINING-INFO-IBA,EURATOM-2021-UKRAINE-TRAINING-INFO-IBA,EURATOM-CSA,"UAinEuratom21 is 24 months project is addressed to support activities of the Ukrainian ‘National Contact Point to Euratom’ (UA Euratom NCP) and aimed to contribute to better integration of Ukrainian research entities (researchers) into European nuclear research networks.UAinEuratom21 project has the following specific objectives:•Strengthening the integration of Ukrainian stakeholders in pan-European initiatives and research relevant to all research areas covered by the Euratom Research and Training Programme 2021-2025,•Enhancing of UA Euratom NCP competence,•Euratom programme awareness raising among Ukrainian stakeholders.The UAinEuratom21 project audience is divided into several target groups:•Direct target groups: UA research community, EU research community, UA coordination and support bodies, EU coordination and support bodies,•Indirect target group: the general public.There are four work packages that are planned for project implementation.WP1 - STRENGTHENING OF NETWORKING ACTIVITIES BETWEEN UA AND EU RESEARCHERS;WP2 - UA EURATOM NCP COMPETENCE REINFORCEMENT;WP3 - DISSEMINATION, EXPLOITATION AND COMMUNICATION;WP4 - PROJECT MANAGEMENT.All activities of the UAinEuratom21 project are implemented by the National science center Kharkov Institute of Physics and Technology that has been officially appointed by the Ukrainian authorities as UA Euratom NCP since 2017.",2022-10-28 09:34:22,242775,
101172406,FisEurad25,SIGNED,FISA 2025 – EURADWASTE’25  conferences on Euratom fission research and training,2024-07-01,2025-12-31,608440,300000,EURATOM2027,EURATOM-2023-EURADWASTE-IBA,2024-06-25,HORIZON,EURATOM-2023-EURADWASTE-IBA,EURATOM-2023-EURADWASTE-IBA,EURATOM-CSA,"The FISA-EURADWASTE event is a high-level, research policy conference on the outcomes and perspectives of the Euratom Research and Training Programme. This 11th edition of the conference will be held in Warsaw, Poland, in May 2025, under the auspices of the Polish Presidency of the Council of the EU. The organisers of this conference are: - the National Centre for Nuclear Research (NCBJ) the most important Polish research centre in the nuclear energy field, and the European Commission (DG-RTD). FISA’25 and EURADWASTE ‘25 conference objectives are: - to present progress and key achievements of the latest projects carried out since 2022 as part of the Euratom Programmes; - to stimulate discussions on the state of play of R&D, key challenges addressed at national, European and international levels on Research and Innovation policies, synergies and partnerships benefitting research and innovation programmes and future perspectives. Expected impacts, thanks to an ambitious communication and dissemination action plan, are: - increasing visibility of the Euratom research and training programme; - increasing awareness of nuclear research achievements; - networking EU stakeholders; - bringing new research project ideas and collaboration between different stakeholders; - orienting research, development and innovation orientations at the EU level; - increasing the visibility of national research potential and participation in the Euratom framework programme.",2024-07-04 16:19:47,264615,
101114128,Adsorbi,CLOSED,Market & Technology Analysis,2023-07-01,2024-03-31,0,75000,HORIZON.3.2,HORIZON-EIE-2022-SCALEUP-02-02,2023-06-01,HORIZON,HORIZON-EIE-2022-SCALEUP-02,HORIZON-EIE-2022-SCALEUP-02,HORIZON-CSA,"Adsorbi is a deep tech startup company from Gothenburg Sweden and was founded after several years of research within materials chemistry. Adsorbi's innovation is a biobased adsorbent material, which captures harmful pollutants with high capacity. The aim is to replace activated carbon in applications for pollutant removal to lower the high environmental impact and material use of today. The goal of the project is to identify which of the many potential application areas to target, specifically, what should be the first products and who is the ideal first customer of Adsorbi. The project is divided into four objectives: perform a market analysis, perform a technical feasibility study, perform an IP strategy evaluation, and develop a business case around shortlisted attractive application areas.",2023-06-28 17:05:44,251242,10.3030/101114128
