projectID,legalBasis,title,uniqueProgrammePart
101116741,HORIZON.1.1,European Research Council (ERC),True
101163161,HORIZON.1.1,European Research Council (ERC),True
101160499,HORIZON.1.1,European Research Council (ERC),True
101166905,HORIZON.1.1,European Research Council (ERC),True
101162875,HORIZON.1.1,European Research Council (ERC),True
101167314,HORIZON.1.1,European Research Council (ERC),True
101165261,HORIZON.1.1,European Research Council (ERC),True
101072693,EURATOM2027,Euratom Research and Training Programme (EURATOM),True
101072693,EURATOM.1.2.2,"Promotion of innovation, knowledge management, dissemination and exploitation of nuclear science and technology, in particular for nuclear safety, security, safeguards and radiation protection",
101172406,EURATOM2027,Euratom Research and Training Programme (EURATOM),True
101172406,EURATOM.1.2,Maintain and further develop expertise and competence in the nuclear field within the Community,
101114128,HORIZON.3.2,European innovation ecosystems,True
101114412,HORIZON.3.2,European innovation ecosystems,True
101114020,HORIZON.3.2,European innovation ecosystems,True
101114248,HORIZON.3.2,European innovation ecosystems,True
101052410,HORIZON.4.2.6,Careers and universities,
101052410,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101172981,HORIZON.4.2.6,Careers and universities,
101172981,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101157697,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101146726,HORIZON.4.2.6,Careers and universities,
101146726,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101124648,HORIZON.4.2.6,Careers and universities,
101124648,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101146604,HORIZON.4.2.6,Careers and universities,
101146604,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101054755,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101054755,HORIZON.4.2.3,Support for policy makers,
101131799,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101052247,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101052247,HORIZON.4.2.4,Open science,
101056649,HORIZON.4.2.6,Careers and universities,
101056649,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101123904,HORIZON.4.2.6,Careers and universities,
101123904,HORIZON.4.2,Reforming and enhancing the European R&I System,True
101113277,HORIZON.3.3,The European Institute of Innovation and Technology (EIT),True
101113201,HORIZON.3.3,The European Institute of Innovation and Technology (EIT),True
101113245,HORIZON.3.3,The European Institute of Innovation and Technology (EIT),True
101071749,HORIZON.3.2,European innovation ecosystems,True
101071876,HORIZON.3.2,European innovation ecosystems,True
101113634,HORIZON.3.2,European innovation ecosystems,True
101177609,HORIZON.1.3,Research infrastructures,True
101177609,HORIZON.1.3.1,Consolidating and Developing the Landscape of European Research Infrastructures,
101114214,HORIZON.3.2,European innovation ecosystems,True
101148217,HORIZON.1.3,Research infrastructures,True
101148217,HORIZON.1.3.2,"Opening, Integrating and Interconnecting Research Infrastructures",
101114169,HORIZON.3.2,European innovation ecosystems,True
101071680,HORIZON.3.2,European innovation ecosystems,True
101100432,HORIZON.3.2,European innovation ecosystems,True
101100432,HORIZON.3.2.3,Joint programmes close to innovators,
101096195,HORIZON.3.2,European innovation ecosystems,True
101096195,HORIZON.3.2.3,Joint programmes close to innovators,
101072248,HORIZON.3.2,European innovation ecosystems,True
101072248,HORIZON.3.2.3,Joint programmes close to innovators,
101134907,HORIZON.3.2,European innovation ecosystems,True
101134907,HORIZON.3.2.3,Joint programmes close to innovators,
101070806,HORIZON.3.2,European innovation ecosystems,True
101070806,HORIZON.3.2.3,Joint programmes close to innovators,
101070768,HORIZON.3.2,European innovation ecosystems,True
101070768,HORIZON.3.2.3,Joint programmes close to innovators,
101095910,HORIZON.3.2,European innovation ecosystems,True
101095910,HORIZON.3.2.3,Joint programmes close to innovators,
101070737,HORIZON.3.2,European innovation ecosystems,True
101070737,HORIZON.3.2.3,Joint programmes close to innovators,
101096775,HORIZON.3.2,European innovation ecosystems,True
101096775,HORIZON.3.2.3,Joint programmes close to innovators,
101134349,HORIZON.3.2,European innovation ecosystems,True
101134349,HORIZON.3.2.3,Joint programmes close to innovators,
101070745,HORIZON.3.2,European innovation ecosystems,True
101070745,HORIZON.3.2.3,Joint programmes close to innovators,
101070847,HORIZON.3.2,European innovation ecosystems,True
101070847,HORIZON.3.2.3,Joint programmes close to innovators,
101114167,HORIZON.3.2,European innovation ecosystems,True
101114167,HORIZON.3.2.3,Joint programmes close to innovators,
101096390,HORIZON.3.2,European innovation ecosystems,True
101096390,HORIZON.3.2.3,Joint programmes close to innovators,
101096746,HORIZON.3.2,European innovation ecosystems,True
101096746,HORIZON.3.2.3,Joint programmes close to innovators,
101072092,HORIZON.3.2,European innovation ecosystems,True
101072092,HORIZON.3.2.3,Joint programmes close to innovators,
101113669,HORIZON.3.2,European innovation ecosystems,True
101134912,HORIZON.3.2,European innovation ecosystems,True
101134912,HORIZON.3.2.3,Joint programmes close to innovators,
101086099,HORIZON.1.3,Research infrastructures,True
101086099,HORIZON.1.3.4,Reinforcing European Research Infrastructure policy and International Cooperation,
101071418,HORIZON.3.2,European innovation ecosystems,True
101113295,HORIZON.3.2,European innovation ecosystems,True
101113904,HORIZON.3.2,European innovation ecosystems,True
101134321,HORIZON.3.2,European innovation ecosystems,True
