projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation
101116741,DOE,999981634,NL811383696B01,WAGENINGEN UNIVERSITY,WU,False,HES,DROEVENDAALSESTEEG 4,6708 PB,Wageningen,NL,NL221,"51.9863279,5.6679366",http://www.wageningenur.nl/nl.htm,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999981634/101116741,2023-12-26 14:40:12,1906458,1,coordinator,1499998.0,1499998.0,1499998,False
101163161,IRASTRO,999997736,DK31119103,AARHUS UNIVERSITET,AU,False,HES,NORDRE RINGGADE 1,8000,Aarhus C,DK,DK042,"56.171028,10.199381",http://www.au.dk,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999997736/101163161,2025-02-24 17:23:14,1905956,2,participant,4246240.0,4246240.0,4246240,False
101163161,IRASTRO,999854855,DE138408327,UNIVERSITAET POTSDAM,UP,False,HES,AM NEUEN PALAIS  10,14469,Potsdam,DE,DE404,"52.3979172,13.0146272",http://www.uni-potsdam.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999854855/101163161,2025-02-24 17:23:14,1908936,3,participant,1982813.0,1982813.0,1982813,False
101163161,IRASTRO,999990267,DE129517720,MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,MPG,False,REC,HOFGARTENSTRASSE 8,80539,Munchen,DE,DE212,"48.1411687,11.5822929",http://www.mpg.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999990267/101163161,2025-02-24 17:23:14,1949732,1,coordinator,5856310.0,5856310.0,5856310,False
101160499,In-phase,999874546,ESQ2818014I,UNIVERSIDAD COMPLUTENSE DE MADRID,UCM,False,HES,AVENIDA DE SENECA 2,28040,Madrid,ES,ES300,"40.4343404,-3.7340644",http://www.ucm.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999874546/101160499,2025-02-24 17:23:11,1906229,1,coordinator,1489128.0,1489128.0,1489128,False
101166905,mw-atlas,999983962,DE121689807,RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN,RWTH AACHEN,False,HES,TEMPLERGRABEN 55,52062,Aachen,DE,DEA2D,"50.7777954,6.07779426513182",http://www.rwth-aachen.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999983962/101166905,2025-02-24 17:23:01,1905639,2,participant,2885875.0,2885875.0,2885875,False
101166905,mw-atlas,999995893,EL090101655,IDRYMA TECHNOLOGIAS KAI EREVNAS,FOUNDATION FOR RESEARCH AND TECHNOLOGYHELLAS,False,REC,N PLASTIRA STR 100,70013,Irakleio,EL,EL431,"35.335976,25.126581",http://www.forth.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999995893/101166905,2025-02-24 17:23:01,1906526,3,participant,3251685.0,3251685.0,3251685,False
101166905,mw-atlas,999990267,DE129517720,MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,MPG,False,REC,HOFGARTENSTRASSE 8,80539,Munchen,DE,DE212,"48.1411687,11.5822929",http://www.mpg.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999990267/101166905,2025-02-24 17:23:01,1949732,1,coordinator,3820000.0,3820000.0,3820000,False
101162875,MAtCHLESS,999897341,IT00816350276,UNIVERSITA CA' FOSCARI  VENEZIA,UNIVE,False,HES,DORSODURO 3246,30123,Venezia,IT,ITH35,"45.43458557360008,12.325949378563257",http://www.unive.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999897341/101162875,2025-02-24 17:23:12,1909514,1,coordinator,1450000.0,1450000.0,1450000,False
101162875,MAtCHLESS,999861354,ESQ2818013A,UNIVERSIDAD AUTONOMA DE MADRID,UAM,False,HES,CALLE EINSTEIN 3 CIUDAD UNIV CANTOBLANCO RECTORADO,28049,Madrid,ES,ES300,"40.4167047,-3.7035824",http://www.uam.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999861354/101162875,2025-02-24 17:23:12,1907039,2,participant,50000.0,50000.0,50000,False
101167314,GWSky,999850878,IT00551830326,SCUOLA INTERNAZIONALE SUPERIORE DI STUDI AVANZATI DI TRIESTE,SISSA,False,HES,VIA BONOMEA   265,34136,Trieste,IT,ITH44,"45.67970335,13.7748282360935",http://www.sissa.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999850878/101167314,2025-02-24 17:23:01,1908564,3,participant,2835524.25,2835524.25,"2835524,25",False
101167314,GWSky,999991043,DK29979812,KOBENHAVNS UNIVERSITET,UCPH,False,HES,NORREGADE 10,1165,Kobenhavn,DK,DK011,"55.68012,12.571506",http://www.ku.dk,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991043/101167314,2025-02-24 17:23:01,1906270,4,participant,2856335.25,2856335.25,"2856335,25",False
101167314,GWSky,999467340,,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,LOS ANGELES UCLA SANTA BARBARA UCSB DAVIS UCD RIVERSIDE UCR SAN DIEGO UCSD SANTA CRUZ UCSC IRVIN,False,HES,FRANKLIN STREET 1111 12 FLOOR,94607,Berkeley,US,US,"37.8044557,-122.2713562",http://www.universityofcalifornia.edu/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999467340/101167314,2025-02-24 17:23:01,1906292,2,participant,3025000.25,3025000.25,"3025000,25",False
101167314,GWSky,999990267,DE129517720,MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV,MPG,False,REC,HOFGARTENSTRASSE 8,80539,Munchen,DE,DE212,"48.1411687,11.5822929",http://www.mpg.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999990267/101167314,2025-02-24 17:23:01,1949732,1,coordinator,3265398.25,3265398.25,"3265398,25",False
101165261,COLIBRI,999987745,IT02133771002,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIROMA1,False,HES,Piazzale Aldo Moro  5,00185,Roma,IT,ITI43,"41.902218,12.5123047",http://www.uniroma1.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999987745/101165261,2025-02-24 17:22:59,1905616,1,coordinator,1495625.0,1495625.0,1495625,False
