id,title,projectID,projectAcronym,attachment,contentUpdateDate,rcn
101113151_PSHORIZON,Periodic Reporting for period 1 - Strategic Synergies (Strategic Synergies Cluster XKIC BP 23-25 Proposal),101113151,Strategic Synergies,/docs/results/horizon/101113/101113151_PS/eit-community-color-portrait.png,2024-07-24 11:59:53,1134773
101113088_PSHORIZON,"Periodic Reporting for period 1 - QSTACK (Low-power consumption, heavy-metal-free wide-spectrum image sensors for mass-market computer visionapplications)",101113088,QSTACK,,2024-09-16 11:31:42,1166553
101112839_PSHORIZON,Periodic Reporting for period 1 - RoCCQeT (Real-World Commercial Coherent Quantum Annealing Technology),101112839,RoCCQeT,/docs/results/horizon/101112/101112839_PS/picture1.png;/docs/results/horizon/101112/101112839_PS/picture2.png,2024-07-29 11:51:27,1138509
190163952_PSHORIZON,Periodic Reporting for period 1 - IO-PR (Silicon-Rich Materials for Advanced Semiconductor Fabrication),190163952,IO-PR,/docs/results/horizon/190163/190163952_PS/picture1.png,2024-10-21 15:38:18,1175998
190184742_PSHORIZON,Periodic Reporting for period 1 - qc-rosa (a Quasi Coherent Receiver Optical Sub-Assembly technology for improved access networks),190184742,qc-rosa,,2024-12-02 12:10:36,1213878
101098996_PSHORIZON,Periodic Reporting for period 1 - FITNESS (Flexible InteligenT NEar-field Sensing Skins),101098996,FITNESS,/docs/results/horizon/101098/101098996_PS/image-for-pr1.jpg,2024-11-18 14:55:21,1200269
190134524_PSHORIZON,Periodic Reporting for period 1 - ELVIS (ELEM Virtual Heart Populations for Supercomputers),190134524,ELVIS,/docs/results/horizon/190134/190134524_PS/picture1.png;/docs/results/horizon/190134/190134524_PS/picture2.png,2024-06-10 10:33:31,1102701
190154620_PSHORIZON,Periodic Reporting for period 1 - FASTWIRE (Transformational crossing system to prevent amputation and treat complex chronic total occlusions in critical limb ischemia),190154620,FASTWIRE,,2024-03-18 10:47:05,1054988
190138713_PSHORIZON,Periodic Reporting for period 1 - Endoprotease 40 (E40) (First ever preventive treatment for celiac disease and gluten sensitivity),190138713,Endoprotease 40 (E40),,2024-07-22 17:37:50,1132238
190185304_PSHORIZON,Periodic Reporting for period 1 - ARCHANGEL (Advanced Remote Continuous patient Health mANaGemEnt SoLution),190185304,ARCHANGEL,/docs/results/horizon/190185/190185304_PS/cpc.jpg,2024-08-23 15:51:18,1157757
190186381_PSHORIZON,Periodic Reporting for period 1 - d3pm (Sonio: Deep-Learning for Detection and Diagnostic of Prenatal Malformations),190186381,d3pm,,2024-02-20 11:07:18,1044351
190163787_PSHORIZON,Periodic Reporting for period 1 - regenera (A natural breast for cancer survivors: resorbable implant supporting tissue regeneration),190163787,regenera,,2024-07-08 12:28:00,1127870
190198093_PSHORIZON,Periodic Reporting for period 1 - Giskard (Quality Assurance for AI),190198093,Giskard,/docs/results/horizon/190198/190198093_PS/cleanshot-2024-07-03-at-15-51-14.png,2024-07-29 15:54:41,1138492
190153745_PSHORIZON,Periodic Reporting for period 1 - WHYLD (Worlwide HYdrological Large-scale Database),190153745,WHYLD,,2024-09-25 15:08:20,1169639
190153073_PSHORIZON,Periodic Reporting for period 1 - WomEC (Reshaping women's health through the understanding of gynecological fluids. WomEC: Antibody-based IVD test based on 5 novel protein biomarkers quantified in liquid biopsy),190153073,WomEC,/docs/results/horizon/190153/190153073_PS/mimark1-firma.png;/docs/results/horizon/190153/190153073_PS/photo-team.png,2024-12-02 12:10:34,1213871
190141476_PSHORIZON,Periodic Reporting for period 1 - EGNITE (Engineering Graphene for developing Neural Interfaces to revolutionize how we treat neurological diseases),190141476,EGNITE,,2024-08-26 11:09:28,1158067
190189473_PSHORIZON,"Periodic Reporting for period 1 - SONOPHORESIS SMARTPATCH (Sonophoresis smartpatch for pain-free, controllable, and wearable transdermal drug delivery)",190189473,SONOPHORESIS SMARTPATCH,/docs/results/horizon/190189/190189473_PS/medicsen.png,2024-10-29 11:19:24,1176894
190132711_PSHORIZON,Periodic Reporting for period 1 - Molecular Culture (World’s first diagnostic test that can detect all bacterial species in a single assay),190132711,Molecular Culture,/docs/results/horizon/190132/190132711_PS/inbiome.png;/docs/results/horizon/190132/190132711_PS/inbiome-stand.jpg,2024-11-25 10:25:10,1210013
190185467_PSHORIZON,Periodic Reporting for period 1 - SUBRACABLE (Making Superconducting power grids a feasible solution for Europe),190185467,SUBRACABLE,,2024-11-01 13:52:14,1184515
190154354_PSHORIZON,Periodic Reporting for period 1 - DIGI-TRUSTY (DIGItal Twins of food pRoducts UnleaShing TransparencY),190154354,DIGI-TRUSTY,,2024-08-26 11:09:29,1158075
190175074_PSHORIZON,Periodic Reporting for period 1 - SMART-SOFT (Inossia Cement Softener - a new and unique additive to bone cements to revolutionise the treatment of vertebral fractures in osteoporotic patients),190175074,SMART-SOFT,,2024-10-22 16:26:00,1176244
190190785_PSHORIZON,Periodic Reporting for period 1 - STABILIS (Stabilis – Providing relief for tremor patients),190190785,STABILIS,,2024-07-08 12:27:12,1127854
101070917_PSHORIZON,Periodic Reporting for period 1 - MICROVASC (Remote whole-brain functional microscopy of the vascular system: a paradigm shift for the monitoring and treatment of small vessel diseases),101070917,MICROVASC,,2024-02-20 11:07:20,1044357
190133766_PSHORIZON,Periodic Reporting for period 1 - DiogenX (Beta-cell recovery to counter diabetes),190133766,DiogenX,,2024-12-17 14:30:09,1232548
190126414_PSHORIZON,Periodic Reporting for period 1 - iLoF (iLoF: AI-augmented photonics to identify and quantify disease biomarkers),190126414,iLoF,,2024-10-01 12:38:11,1171767
190135075_PSHORIZON,Periodic Reporting for period 1 - Bac3Gel (New generation of substrates to harness the full power of microorganisms),190135075,Bac3Gel,,2024-08-05 12:21:18,1139654
190166095_PSHORIZON,Periodic Reporting for period 1 - CB24 (Development of a natural therapeutic treatment for late-stage lung cancer patients),190166095,CB24,,2024-12-17 14:30:08,1232546
190141008_PSHORIZON,Periodic Reporting for period 1 - Reverion (Reversibly operating fuels cells for clean energy and long-term storage),190141008,Reverion,/docs/results/horizon/190141/190141008_PS/container-biogas-plant.jpg,2024-04-15 12:04:00,1079743
190130710_PSHORIZON,Periodic Reporting for period 1 - LILY (LILY: A Breakthrough Technology to Prevent Chemotherapy-Induced Hair Loss),190130710,LILY,,2024-12-12 14:10:39,1228919
190140124_PSHORIZON,Periodic Reporting for period 1 - OCEANBATTERY (Unlocking the full potential of renewable energy with the Ocean Battery),190140124,OCEANBATTERY,/docs/results/horizon/190140/190140124_PS/oceanbattery-landversion.jpg,2024-08-05 12:21:15,1139638
